obs,time,elapsed,date,hhmmss,averaging,plot,plant,leaf,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,¦ÁVc,Edyn,Hr,Hs,dHs/dt,¦ÁVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,¦¤Pcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,Tled,Pc,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
103,1639112063,496.5999999,20211210 12:54:22,12:54:22,0,plot-sdfgghhh1-1,1,ertyhghj,1639112063,0.003141007,3.141006966,16.58770686,400.016,276.4068946,28.41496791,41.12213562,0.236308442,3.264476767,0.227199968,0.142789088,246.8401708,25.57613069,25.5492,3.285290691,59.7587665,1.899920877,3.179317426,1.385369815,-138.5184072,-96.99055322,-6.301908586,5.029301783,16.61211256,3.135573798,16.58770686,415.9594084,407.5302485,1.48241E-05,91.0971969,3.141006966,16.94164527,18.48172121,-1.7875E-06,100.31,4,1,1,0,54489.20648,1555.39,1311.193317,0.842999709,0.158699857,3,0.5,0: Broadleaf,2,TRUE,1639112063,400.016,408.941,18.4815,16.9441,399.472,18.269,600.551,102.601,0.200227,24.9981,25.5492,999.9,0,0,9975.62,637.183,0.960577,1555.39,0.900001,0.0999987,26,33747,1639111597,12:46:36,1639111597,1639111596,8,0.003,0.005,0.541,0.119,409,17,0.31,0.05,100,100,0.544,0.2125,0.408413287,0.001183069,-2.42743E-06,7.98292E-10,-0.035257116,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,7.8,7.8,19,614.11,417.792,26.5405,21.5864,30.0003,21.4963,21.4749,20.8722,30.0191,83.2121,26.5405,408.885,16.9981,102.009,101.969
104,1639112067,500.5999999,20211210 12:54:26,12:54:26,0,plot-sdfgghhh1-1,1,ertyhghj,1639112067,0.003133857,3.133856688,16.40470994,400.069,277.3137467,28.50810302,41.12745366,0.235431699,3.269558926,0.226402772,0.142284095,246.1739693,25.57311729,25.5574,3.286890521,59.75673571,1.899822331,3.179260561,1.38706819,-138.2030799,-98.63983069,-6.399361721,2.931696989,16.28199735,3.145684402,16.40470994,415.9383759,407.6011939,6.25243E-05,91.0971969,3.133856688,16.94431782,18.48102121,-5.52989E-07,100.31,4,1,1,0,54630.11632,1551.19,1307.653217,0.84300003,0.158700075,3,0.5,0: Broadleaf,2,TRUE,1639112067,400.069,408.832,18.4806,16.9381,399.524,18.2681,600.496,102.601,0.199901,24.9978,25.5574,999.9,0,0,10002.5,635.248,0.960577,1551.19,0.899999,0.100001,26,33655.9,1639111597,12:46:36,1639111597,1639111596,8,0.003,0.005,0.541,0.119,409,17,0.31,0.05,100,100,0.545,0.2125,0.408413287,0.001183069,-2.42743E-06,7.98292E-10,-0.035257116,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,7.8,7.9,19,613.854,417.745,26.5425,21.5864,30.0002,21.4963,21.4761,20.8712,30.0191,83.2121,26.5419,408.698,17.0061,102.011,101.968
105,1639112071,504.5999999,20211210 12:54:30,12:54:30,0,plot-sdfgghhh1-1,1,ertyhghj,1639112071,0.003143447,3.143447025,16.41877215,400.051,277.5365532,28.53076211,41.1252492,0.236168855,3.26457767,0.227071185,0.14270768,245.507313,25.56852744,25.5563,3.28667587,59.74412607,1.899466736,3.179336381,1.387209134,-138.6260138,-98.22555053,-6.382185825,2.273562819,16.39151555,3.147857763,16.41877215,415.9396585,407.5943455,-5.75811E-05,91.0971969,3.143447025,16.93642671,18.47818242,-2.94818E-06,100.31,4,1,1,0,54491.95963,1546.99,1304.11257,0.843,0.1587,3,0.5,0: Broadleaf,2,TRUE,1639112071,400.051,408.871,18.4773,16.9334,399.506,18.2651,600.368,102.6,0.200016,24.9982,25.5563,999.9,0,0,9976.25,633.356,0.960577,1546.99,0.9,0.1,26,33564.7,1639111597,12:46:36,1639111597,1639111596,8,0.003,0.005,0.541,0.119,409,17,0.31,0.05,100,100,0.545,0.2122,0.408413287,0.001183069,-2.42743E-06,7.98292E-10,-0.035257116,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,7.9,7.9,19,613.854,417.834,26.5435,21.5868,30,21.4963,21.4767,20.8701,30.0191,83.2121,26.5432,408.744,17.0142,102.009,101.969
106,1639112075,508.5999999,20211210 12:54:34,12:54:34,0,plot-sdfgghhh1-1,1,ertyhghj,1639112075,0.003142804,3.142804195,16.42729831,400.011,277.7937465,28.55720353,41.12114,0.236872268,3.269295149,0.227734109,0.143125472,244.705878,25.56363483,25.5331,3.282151542,59.73669337,1.899230425,3.179336381,1.382921117,-138.597665,-94.27839302,-6.116166778,5.713653196,16.4362902,3.137702753,16.42729831,415.8819813,407.5331758,-2.8408E-06,91.0971969,3.142804195,16.93377822,18.47500121,-3.0799E-06,100.31,4,1,1,0,54622.70098,1541.94,1299.85542,0.843,0.1587,3,0.5,0: Broadleaf,2,TRUE,1639112075,400.011,408.85,18.475,16.9363,399.466,18.2628,600.455,102.6,0.200023,24.9982,25.5331,999.9,0,0,10001.2,631.277,0.960577,1541.94,0.9,0.1,26,33455.2,1639111597,12:46:36,1639111597,1639111596,8,0.003,0.005,0.541,0.119,409,17,0.31,0.05,100,100,0.545,0.2122,0.408413287,0.001183069,-2.42743E-06,7.98292E-10,-0.035257116,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,8,8,19,614.073,417.806,26.5444,21.5882,30.0001,21.4963,21.4767,20.8689,29.7407,83.2121,26.5432,408.8,17.0261,102.011,101.97
107,1639112079,512.5999999,20211210 12:54:38,12:54:38,0,plot-sdfgghhh1-1,1,ertyhghj,1639112079,0.003131102,3.131102116,16.37794534,399.985,277.6847435,28.5457095,41.11805162,0.235958665,3.268578135,0.226887503,0.142590641,244.0314268,25.5618075,25.5332,3.282171032,59.74194749,1.899272909,3.17912788,1.382898123,-138.0816033,-94.46917482,-6.129857042,5.35079161,16.40568137,3.084117041,16.37794534,415.8464263,407.5217697,-4.6909E-05,91.0971969,3.131102116,16.93968736,18.47534,-1.22635E-06,100.31,4,1,1,0,54602.98785,1537.69,1296.273159,0.843000318,0.158700015,3,0.5,0: Broadleaf,2,TRUE,1639112079,399.985,408.799,18.4756,16.963,399.44,18.2634,600.384,102.599,0.199984,24.9971,25.5332,999.9,0,0,9997.5,629.243,0.960577,1537.69,0.900001,0.0999994,26,33362.9,1639111597,12:46:36,1639111597,1639111596,8,0.003,0.005,0.541,0.119,409,17,0.31,0.05,100,100,0.545,0.2122,0.408413287,0.001183069,-2.42743E-06,7.98292E-10,-0.035257116,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,8,8.1,19,613.982,417.889,26.5447,21.5882,30,21.4963,21.4767,20.8725,29.7407,83.2121,26.5446,408.902,17.0292,102.01,101.968
108,1639112083,516.5999999,20211210 12:54:42,12:54:42,0,plot-sdfgghhh1-1,1,ertyhghj,1639112083,0.003089434,3.089433903,16.34139141,400.012,276.3994284,28.4132844,41.12039877,0.23263671,3.2704471,0.223818867,0.140651193,243.4108404,25.56858715,25.5378,3.283067669,59.75923518,1.899890468,3.179241606,1.3831772,-136.2440351,-95.22845744,-6.175755286,5.762592489,16.37189998,3.078780119,16.34139141,415.8531678,407.5446424,4.51775E-05,91.0971969,3.089433903,16.96476864,18.48025697,5.82448E-06,100.31,4,1,1,0,54654.72505,1533.78,1292.976761,0.843000144,0.15869997,3,0.5,0: Broadleaf,2,TRUE,1639112083,400.012,408.81,18.4818,16.9715,399.468,18.2693,600.254,102.598,0.199913,24.9977,25.5378,999.9,0,0,10007.5,627.474,0.960577,1533.78,0.900001,0.0999992,26,33278.1,1639111597,12:46:36,1639111597,1639111596,8,0.003,0.005,0.541,0.119,409,17,0.31,0.05,100,100,0.544,0.2125,0.408413287,0.001183069,-2.42743E-06,7.98292E-10,-0.035257116,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,8.1,8.1,19,613.694,417.958,26.5457,21.5886,30.0002,21.4966,21.4767,20.8737,29.7407,83.2121,26.5464,408.91,17.0337,102.011,101.968
109,1639112087,520.5999999,20211210 12:54:46,12:54:46,0,plot-sdfgghhh1-1,1,ertyhghj,1639112087,0.003091314,3.091313726,16.59310263,400.021,274.8353005,28.25282154,41.12179878,0.233027252,3.270936951,0.224181655,0.1408803,242.5889346,25.56368754,25.5342,3.282365934,59.78061928,1.900570321,3.179241606,1.381795614,-136.3269353,-94.60788693,-6.134480077,5.519632321,16.52104698,3.089307434,16.59310263,415.9693782,407.5356727,6.46187E-07,91.0971969,3.091313726,16.97187219,18.48781091,6.61849E-06,100.31,4,1,1,0,54668.35034,1528.6,1288.609846,0.84300003,0.158700075,3,0.5,0: Broadleaf,2,TRUE,1639112087,400.021,408.893,18.4882,16.9732,399.477,18.2753,600.434,102.599,0.2001,24.9977,25.5342,999.9,0,0,10010,625.373,0.960577,1528.6,0.899999,0.100001,26,33165.8,1639111597,12:46:36,1639111597,1639111596,8,0.003,0.005,0.541,0.119,409,17,0.31,0.05,100,100,0.544,0.2129,0.408413287,0.001183069,-2.42743E-06,7.98292E-10,-0.035257116,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,8.2,8.2,19,614.076,417.681,26.5471,21.5901,30.0001,21.4981,21.4767,20.8718,29.7407,83.2121,26.5481,408.729,17.0306,102.009,101.969
110,1639112091,524.5999999,20211210 12:54:50,12:54:50,0,plot-sdfgghhh1-1,1,ertyhghj,1639112091,0.003094922,3.094921803,16.31696637,400.031,277.0410571,28.47953393,41.12277277,0.233556298,3.269767463,0.224668266,0.141188039,241.919106,25.55896113,25.529,3.28135255,59.79396361,1.900937901,3.179146834,1.380414649,-136.4860515,-93.7455463,-6.080564666,5.606943542,16.35306713,3.089730376,16.31696637,415.8781543,407.5857333,2.30319E-05,91.0971969,3.094921803,16.97385419,18.49136364,5.3176E-06,100.31,4,1,1,0,54635.97067,1524.38,1285.05234,0.843,0.1587,3,0.5,0: Broadleaf,2,TRUE,1639112091,400.031,408.818,18.4918,16.9768,399.487,18.2787,600.514,102.599,0.199965,24.9972,25.529,999.9,0,0,10003.8,623.366,0.960577,1524.38,0.9,0.1,26,33074.1,1639111597,12:46:36,1639111597,1639111596,8,0.003,0.005,0.541,0.119,409,17,0.31,0.05,100,100,0.544,0.2131,0.408413287,0.001183069,-2.42743E-06,7.98292E-10,-0.035257116,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,8.2,8.3,19,613.985,417.681,26.5483,21.5901,30.0001,21.4981,21.4767,20.8711,29.7407,83.2121,26.5497,408.807,17.034,102.011,101.969
111,1639112094,528.0999999,20211210 12:54:54,12:54:54,0,plot-sdfgghhh1-1,1,ertyhghj,1639112094,0.003094211,3.094210805,16.37462734,400.033,276.9173457,28.46656924,41.12262114,0.234107134,3.268795789,0.225175446,0.141508738,241.3413692,25.5552063,25.513,3.278236158,59.80703369,1.901240062,3.178957297,1.376996096,-136.4546965,-91.07427824,-5.908550255,7.903844195,16.39113896,3.092064899,16.37462734,415.8885149,407.5654909,3.71214E-07,91.0971969,3.094210805,16.97663491,18.49407212,2.38007E-06,100.31,4,1,1,0,54609.16885,1520.74,1281.983555,0.842999826,0.158699955,3,0.5,0: Broadleaf,2,TRUE,1639112094,400.033,408.841,18.4949,16.9785,399.488,18.2816,600.411,102.598,0.200072,24.9962,25.513,999.9,0,0,9998.75,621.717,0.960577,1520.74,0.9,0.0999998,26,32995.2,1639111597,12:46:36,1639111597,1639111596,8,0.003,0.005,0.541,0.119,409,17,0.31,0.05,100,100,0.545,0.2133,0.408413287,0.001183069,-2.42743E-06,7.98292E-10,-0.035257116,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,8.3,8.3,19,613.93,417.709,26.5494,21.5906,30.0002,21.4981,21.4767,20.8703,29.7407,83.2121,26.5497,408.797,17.0366,102.012,101.969
112,1639112099,532.5999999,20211210 12:54:58,12:54:58,0,plot-sdfgghhh1-1,1,ertyhghj,1639112099,0.003094964,3.094964453,16.37529063,399.995,276.8046896,28.45467839,41.11826682,0.233965419,3.270673879,0.225049232,0.141428543,240.463827,25.55005332,25.5193,3.279462928,59.81155596,1.901383823,3.178957297,1.378079106,-136.4879324,-92.23747506,-5.980767464,5.757652087,16.32835276,3.092944363,16.37529063,415.8513971,407.5288848,-2.39874E-05,91.0971969,3.094964453,16.97889676,18.4965703,2.45051E-06,100.31,4,1,1,0,54661.27561,1515.21,1277.32203,0.843,0.1587,3,0.5,0: Broadleaf,2,TRUE,1639112099,399.995,408.771,18.4965,16.9798,399.451,18.2831,600.462,102.597,0.199952,24.9962,25.5193,999.9,0,0,10008.8,619.455,0.960577,1515.21,0.9,0.1,26,32875.3,1639111597,12:46:36,1639111597,1639111596,8,0.003,0.005,0.541,0.119,409,17,0.31,0.05,100,100,0.544,0.2134,0.408413287,0.001183069,-2.42743E-06,7.98292E-10,-0.035257116,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,8.4,8.4,19,613.839,417.75,26.5511,21.5919,30.0002,21.4981,21.4767,20.8715,29.7407,83.2121,26.5522,408.792,17.0395,102.012,101.967
113,1639112103,536.5999999,20211210 12:55:02,12:55:02,0,plot-sdfgghhh1-1,1,ertyhghj,1639112103,0.003091633,3.091632979,16.43817167,399.995,276.3192814,28.40509933,41.11872921,0.233862499,3.269503726,0.224950936,0.14136671,239.7909966,25.54723722,25.5152,3.278664508,59.81423528,1.901446324,3.178919391,1.377218184,-136.3410144,-91.51703976,-5.936049092,5.99689335,16.47150119,3.084089488,16.43817167,415.8811566,407.5261758,1.31386E-05,91.0971969,3.091632979,16.98053839,18.49664061,-3.73067E-07,100.31,4,1,1,0,54628.84894,1510.97,1273.748322,0.843000405,0.158700038,3,0.5,0: Broadleaf,2,TRUE,1639112103,399.995,408.841,18.4969,16.9845,399.451,18.2835,600.445,102.598,0.200108,24.996,25.5152,999.9,0,0,10002.5,617.534,0.949662,1510.97,0.900001,0.0999995,26,32783.3,1639111597,12:46:36,1639111597,1639111596,8,0.003,0.005,0.541,0.119,409,17,0.31,0.05,100,100,0.544,0.2134,0.408413287,0.001183069,-2.42743E-06,7.98292E-10,-0.035257116,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,8.4,8.5,19,613.821,417.638,26.5531,21.5919,30.0002,21.4981,21.4784,20.8722,29.7407,83.2121,26.5547,408.781,17.0401,102.011,101.967
114,1639112107,540.5999999,20211210 12:55:06,12:55:06,0,plot-sdfgghhh1-1,1,ertyhghj,1639112107,0.003083748,3.083747858,16.51123231,400.019,275.7471813,28.34650747,41.12151398,0.233658743,3.26999389,0.224763663,0.141248263,239.151604,25.54510589,25.5033,3.276348104,59.8168038,1.90147129,3.178824627,1.374876814,-135.9932805,-89.52103219,-5.80534987,7.831941435,16.45936596,3.084206756,16.51123231,415.9551443,407.5612909,-1.23416E-05,91.0971969,3.083747858,16.98409405,18.49666788,2.30191E-07,100.31,4,1,1,0,54642.56764,1506.94,1270.35051,0.84300006,0.15870015,3,0.5,0: Broadleaf,2,TRUE,1639112107,400.019,408.861,18.497,16.9842,399.474,18.2836,600.309,102.599,0.199902,24.9955,25.5033,999.9,0,0,10005,615.709,0.943112,1506.94,0.899998,0.100002,26,32695.7,1639111597,12:46:36,1639111597,1639111596,8,0.003,0.005,0.541,0.119,409,17,0.31,0.05,100,100,0.545,0.2134,0.408413287,0.001183069,-2.42743E-06,7.98292E-10,-0.035257116,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,8.5,8.5,19,613.821,417.779,26.5552,21.5936,30.0002,21.4981,21.4785,20.87,29.7407,82.8377,26.5575,408.74,17.0394,102.008,101.967
115,1639112111,544.5999999,20211210 12:55:10,12:55:10,0,plot-sdfgghhh1-1,1,ertyhghj,1639112111,0.003082545,3.082545135,16.45958475,399.938,275.9207903,28.36496682,41.11407513,0.233442725,3.268378848,0.22455954,0.141119667,238.337213,25.54130276,25.506,3.276873549,59.81001074,1.901255351,3.178824627,1.375618198,-135.9402405,-89.95257104,-5.836296525,6.608104997,16.51373723,3.077513255,16.45958475,415.8448752,407.4782727,-6.53757E-05,91.0971969,3.082545135,16.98259058,18.49446545,-9.95543E-07,100.31,4,1,1,0,54597.7967,1501.81,1266.025699,0.842999913,0.158699977,3,0.5,0: Broadleaf,2,TRUE,1639112111,399.938,408.805,18.4945,16.9851,399.393,18.2812,600.357,102.601,0.200122,24.9955,25.506,999.9,0,0,9996.25,613.64,0.956211,1501.81,0.9,0.0999999,26,32584.4,1639111597,12:46:36,1639111597,1639111596,8,0.003,0.005,0.541,0.119,409,17,0.31,0.05,100,100,0.545,0.2133,0.408413287,0.001183069,-2.42743E-06,7.98292E-10,-0.035257116,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,8.6,8.6,19,613.766,417.737,26.5577,21.5937,30.0001,21.4981,21.4785,20.8738,29.4641,82.8377,26.5607,408.912,17.0443,102.009,101.967
116,1639112115,548.5999999,20211210 12:55:14,12:55:14,0,plot-sdfgghhh1-1,1,ertyhghj,1639112115,0.003078451,3.078451041,16.45949281,399.989,276.069162,28.37988694,41.118836,0.233615136,3.268832593,0.224720278,0.141221124,237.6801951,25.53919207,25.4949,3.274713856,59.82886983,1.901911544,3.178919391,1.372802312,-135.7596909,-87.92079916,-5.703375155,8.29632992,16.49685026,3.044231599,16.45949281,415.8719291,407.505697,4.44545E-07,91.0971969,3.078451041,16.99047537,18.50014,2.62674E-06,100.31,4,1,1,0,54610.27003,1497.67,1262.53568,0.842999913,0.158699977,3,0.5,0: Broadleaf,2,TRUE,1639112115,399.989,408.84,18.5011,17.0082,399.445,18.2874,600.424,102.6,0.199917,24.996,25.4949,999.9,0,0,9998.75,611.721,0.938746,1497.67,0.9,0.0999999,26,32494.6,1639111597,12:46:36,1639111597,1639111596,8,0.003,0.005,0.541,0.119,409,17,0.31,0.05,100,100,0.544,0.2137,0.408413287,0.001183069,-2.42743E-06,7.98292E-10,-0.035257116,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,8.6,8.7,19,613.86,417.557,26.5604,21.5945,30.0001,21.4998,21.4785,20.8736,29.4641,82.8377,26.5607,408.833,17.0417,102.007,101.966
117,1639112119,552.5999999,20211210 12:55:18,12:55:18,0,plot-sdfgghhh1-1,1,ertyhghj,1639112119,0.003050505,3.050505351,16.43085181,400.054,275.3757088,28.30917719,41.12635651,0.231606629,3.27063385,0.222865602,0.140048862,237.0516312,25.5416278,25.4915,3.274052577,59.84480913,1.902361531,3.178824627,1.371691046,-134.527286,-87.45790042,-5.670111379,9.396333422,16.34896503,3.046229387,16.43085181,415.9528421,407.6021576,8.20092E-05,91.0971969,3.050505351,17.00891949,18.50457939,5.41492E-06,100.31,5,1,1,0,54660.40182,1493.71,1259.197355,0.842999883,0.158699902,3,0.5,0: Broadleaf,2,TRUE,1639112119,400.054,408.83,18.5051,17.0115,399.51,18.2912,600.534,102.602,0.200013,24.9955,25.4915,999.9,0,0,10008.1,609.954,0.946387,1493.71,0.900001,0.0999989,26,32408.7,1639111597,12:46:36,1639111597,1639111596,8,0.003,0.005,0.541,0.119,409,17,0.31,0.05,100,100,0.544,0.2139,0.408413287,0.001183069,-2.42743E-06,7.98292E-10,-0.035257116,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,8.7,8.7,19,613.752,417.557,26.5619,21.5956,30.0001,21.4999,21.4785,20.8715,29.4641,82.8377,26.5636,408.781,17.04,102.007,101.967
118,1639112123,556.5999999,20211210 12:55:22,12:55:22,0,plot-sdfgghhh1-1,1,ertyhghj,1639112123,0.003051279,3.05127904,16.3528015,400.028,275.8539897,28.35804145,41.12324283,0.231522295,3.268614941,0.222782328,0.139996717,236.2773777,25.53863574,25.4978,3.27527798,59.8535347,1.902752342,3.179014157,1.372525638,-134.5614057,-88.33786719,-5.730909753,7.647195132,16.35328775,3.045760914,16.3528015,415.8921432,407.5797515,-2.26883E-06,91.0971969,3.05127904,17.012021,18.50839091,5.40403E-06,100.31,4,1,1,0,54604.16219,1488.83,1255.084293,0.843000405,0.158700038,3,0.5,0: Broadleaf,2,TRUE,1639112123,400.028,408.808,18.5091,17.0154,399.484,18.295,600.399,102.601,0.199911,24.9965,25.4978,999.9,0,0,9997.5,607.837,0.956211,1488.83,0.900001,0.0999995,26,32302.8,1639111597,12:46:36,1639111597,1639111596,8,0.003,0.005,0.541,0.119,409,17,0.31,0.05,100,100,0.544,0.2141,0.408413287,0.001183069,-2.42743E-06,7.98292E-10,-0.035257116,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,8.8,8.8,19,613.661,417.812,26.565,21.5956,30.0001,21.4999,21.4793,20.8723,29.4641,82.8377,26.5666,408.832,17.04,102.008,101.967
119,1639112127,560.5999999,20211210 12:55:26,12:55:26,0,plot-sdfgghhh1-1,1,ertyhghj,1639112127,0.00305067,3.050669639,16.2365547,400.1,276.6837292,28.44311254,41.13031641,0.231393278,3.270483895,0.222667639,0.139923824,235.553649,25.53433268,25.5005,3.275803275,59.85800835,1.902860524,3.178957297,1.372942751,-134.5345311,-88.91733268,-5.765275679,6.336509574,16.23863556,3.047983733,16.2365547,415.8880049,407.6362788,8.7604E-05,91.0971969,3.050669639,17.01512743,18.51083939,5.91064E-07,100.31,4,1,1,0,54656.06559,1484.27,1251.23961,0.843,0.1587,3,0.5,0: Broadleaf,2,TRUE,1639112127,400.1,408.821,18.5103,17.0159,399.555,18.2962,600.555,102.6,0.200091,24.9962,25.5005,999.9,0,0,10007.5,605.827,0.954028,1484.27,0.9,0.1,26,32204,1639111597,12:46:36,1639111597,1639111596,8,0.003,0.005,0.541,0.119,409,17,0.31,0.05,100,100,0.545,0.2141,0.408413287,0.001183069,-2.42743E-06,7.98292E-10,-0.035257116,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,8.8,8.9,19,614.007,417.502,26.5676,21.5973,30.0001,21.4999,21.4803,20.8683,29.4641,82.8377,26.5692,408.807,17.04,102.008,101.967
120,1639112131,564.5999999,20211210 12:55:30,12:55:30,0,plot-sdfgghhh1-1,1,ertyhghj,1639112131,0.003056025,3.056025341,16.08854992,400.094,278.1632634,28.59572646,41.13044418,0.232287869,3.271105262,0.223497611,0.140448062,234.911025,25.52935611,25.4899,3.273741428,59.877592,1.903460383,3.178919391,1.370281045,-134.7707175,-87.10016729,-5.64607359,7.394066584,15.94614759,3.050647992,16.08854992,415.8177122,407.6414545,-4.72773E-05,91.0971969,3.056025341,17.01649638,18.51490424,4.35959E-06,100.31,4,1,1,0,54673.40291,1480.22,1247.825504,0.84300003,0.158700075,3,0.5,0: Broadleaf,2,TRUE,1639112131,400.094,408.67,18.5158,17.02,399.55,18.3013,600.514,102.602,0.199952,24.996,25.4899,999.9,0,0,10010.6,604.106,0.952937,1480.22,0.899999,0.100001,26,32115.9,1639111597,12:46:36,1639111597,1639111596,8,0.003,0.005,0.541,0.119,409,17,0.31,0.05,100,100,0.544,0.2145,0.408413287,0.001183069,-2.42743E-06,7.98292E-10,-0.035257116,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,8.9,8.9,19,613.771,417.641,26.5698,21.5974,30.0003,21.4999,21.4803,20.8706,29.4641,82.8377,26.5718,408.733,17.04,102.007,101.966
121,1639112135,568.5999999,20211210 12:55:34,12:55:34,0,plot-sdfgghhh1-1,1,ertyhghj,1639112135,0.003049567,3.049567021,16.23071594,399.971,276.6814744,28.44315604,41.11745317,0.231556641,3.2677875,0.222812009,0.140015661,234.1349816,25.5271459,25.4963,3.274986181,59.87647443,1.903413508,3.178900438,1.371572673,-134.4859056,-88.15694904,-5.720560432,5.771566544,16.38216383,3.051364302,16.23071594,415.784883,407.5334061,-5.45279E-05,91.0971969,3.049567021,17.01972829,18.51553636,1.48941E-06,100.31,4,1,1,0,54581.32436,1475.33,1243.703234,0.84300003,0.158700075,3,0.5,0: Broadleaf,2,TRUE,1639112135,399.971,408.768,18.5155,17.0188,399.427,18.3011,600.294,102.601,0.200086,24.9959,25.4963,999.9,0,0,9993.12,601.974,0.938746,1475.33,0.899999,0.100001,26,32010,1639111597,12:46:36,1639111597,1639111596,8,0.003,0.005,0.541,0.119,409,17,0.31,0.05,100,100,0.544,0.2144,0.408413287,0.001183069,-2.42743E-06,7.98292E-10,-0.035257116,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,9,9,19,613.627,417.683,26.5721,21.5986,30.0003,21.5017,21.4803,20.87,29.4641,82.8377,26.5718,408.84,17.04,102.008,101.967
122,1639112139,572.5999999,20211210 12:55:38,12:55:38,0,plot-sdfgghhh1-1,1,ertyhghj,1639112139,0.00305134,3.051339736,16.2797119,400.018,276.518352,28.42609598,41.121864,0.23182365,3.271897785,0.223069814,0.14017759,233.4270357,25.52353266,25.4921,3.274169265,59.87157804,1.90339403,3.17912788,1.370775235,-134.5640823,-87.31530392,-5.658742299,5.888907165,16.19796125,3.046141955,16.2797119,415.8370859,407.5624303,-3.55853E-05,91.0971969,3.051339736,17.01913792,18.51549394,-1.02147E-06,100.31,4,1,1,0,54695.17583,1470.87,1239.943282,0.842999913,0.158699977,3,0.5,0: Broadleaf,2,TRUE,1639112139,400.018,408.72,18.5155,17.0217,399.473,18.301,600.43,102.6,0.200034,24.9971,25.4921,999.9,0,0,10015,600.046,0.954028,1470.87,0.9,0.0999999,26,31913.2,1639111597,12:46:36,1639111597,1639111596,8,0.003,0.005,0.541,0.119,409,17,0.31,0.05,100,100,0.545,0.2145,0.408413287,0.001183069,-2.42743E-06,7.98292E-10,-0.035257116,-0.032697331,0.002482544,2.71489E-06,1,2051,1,21,9,9.1,19,613.956,417.544,26.5741,21.5992,30.0003,21.5017,21.4803,20.872,29.4641,82.8377,26.5748,408.849,17.04,102.005,101.967
